  0  0.4009055      0.0000000  2009840  -80873.6178004    486.8284151	0.0000000
  1  0.3879731  -1040.6385364  2000850  -79909.3720169    494.6385997	-1040.0268101
  2  0.3758489  -2004.3335372  1992189  -78994.8912980    502.5085320	-2003.4788882
  3  0.3644596  -2898.5652898  1985171  -78092.7222390    495.1418851	-2897.9585115
  4  0.3537402  -3729.9335027  1985005  -77228.3120194    457.2588810	-3730.1392250
  5  0.3436333  -4504.4018814  1973895  -76387.5198529    385.1211215	-4506.1046364
  6  0.3340879  -5227.6528096  1968598  -75492.6445115    361.9035393	-5230.8535478
  7  0.3250585  -5907.2296475  1960171  -74665.9084845    420.5231363	-5908.9402773
  8  0.3165043  -6543.6855064  1954751  -73895.4611099    498.1712257	-6544.5760939
  9  0.3083889  -7140.2621019  1947550  -73142.9914508    491.4241372	-7141.2201219
 10  0.3006791  -7700.2967936  1940993  -72399.1598630    408.0145852	-7702.1246209
 11  0.2933455  -8228.0320150  1936652  -71577.1997241    412.0751212	-8230.0544532
