  0  0.4009055      0.0000000  1145678  -80895.0880788    299.3850572	0.0000000
  1  0.3879731  -1039.9358653  1142493  -79925.0131117    304.5076279	-1039.9358580
  2  0.3758489  -2003.3378681  1136991  -78991.9230891    310.0890562	-2003.3378702
  3  0.3644596  -2897.7880332  1133468  -78070.4017934    315.6618853	-2897.7880718
  4  0.3537402  -3729.9775259  1132177  -77193.2426246    320.3606977	-3729.9776202
  5  0.3436333  -4505.9240013  1127087  -76349.3616775    326.5529235	-4505.9241543
  6  0.3340879  -5230.6594932  1123301  -75498.1021872    330.4466308	-5230.6596718
  7  0.3250585  -5908.7386031  1117771  -74690.0559730    336.2850328	-5908.7388389
  8  0.3165043  -6544.3525880  1116955  -73915.4205362    340.4512124	-6544.3528387
  9  0.3083889  -7140.9984613  1110935  -73118.3061700    345.8310529	-7140.9987407
 10  0.3006791  -7701.8773752  1107548  -72376.3701077    350.3993775	-7701.8776762
 11  0.2933455  -8229.8810598  1104240  -71617.8437477    355.4642127	-8229.8813764
